id,title,body,left_pct,top_pct,category_id,start_date,testup_date,proof_date,delivery_date,flag_start,flag_test,flag_proof,flag_delivery,flag_fb,ball_side,ball_mine,ball_theirs,ball_due,created_at,updated_at
1,スマホ対応する,"出来たけど、改善の余地あり
見た目だけでも、
左上が一番、優先順位を数値化する",68.619791500933,87.910129599283,3,2025-08-18,,,,1,0,0,0,0,0,,,,2025-08-18T18:04:11+02:00,2025-12-12T22:31:48+01:00
4,子カテゴリーを追加する,情報整理のために必要,62.734374834266,31.519562775951,3,,,,,0,0,0,0,0,0,,,,2025-08-18T19:54:39+02:00,2025-12-12T22:31:32+01:00
8,ボールの投げ合い履歴をつくる,"ボールで新しく投げるボタンを作って、押したら履歴として
保存される。
向こうとこっちで入り乱れる",35.645834414428,79.456740114159,3,,,,,0,0,0,0,0,0,,,,2025-08-18T20:07:57+02:00,2025-11-09T18:47:12+01:00
11,定期的にやる機能をつける,,81.739583292537,73.937434124672,3,,,,,0,0,0,0,0,0,,,,2025-08-18T20:20:59+02:00,2025-11-03T16:04:48+01:00
12,最近のタスクリスト追加,,80.651042036382,60.948073632141,3,,,,,0,0,0,0,0,0,,,,2025-08-18T20:32:02+02:00,2025-12-12T22:31:52+01:00
13,完了した日付を記録して、完了カレンダーに表示,,82.500002753735,35.336961041745,3,,,,,0,0,0,0,0,0,,,,2025-08-18T20:46:45+02:00,2025-11-09T18:46:46+01:00
15,完了リストを子タスクと親タスクで分ける,,55.932291179664,22.758201087328,3,,,,,0,0,0,0,0,0,,,,2025-08-22T19:53:35+02:00,2025-11-09T18:46:59+01:00
17,カテゴリー編集画面でURL一覧作る,,11.390626955662,72.580784491101,3,,,,,0,0,0,0,0,0,,,,2025-08-22T23:14:12+02:00,2025-11-01T07:02:42+01:00
19,アプリ化する,,81.71875,89.629030496273,3,,,,,0,0,0,0,0,0,,,,2025-08-23T09:23:26+02:00,2025-11-01T06:49:08+01:00
20,カテゴリーの種類増やす,"今のカテゴリーをクライアントにして
新しく業務のカテゴリーを用意し、そこに小カテゴリーを用意する",20.192708937625,6.8348803911573,3,,,,,0,0,0,0,0,0,,,,2025-10-31T21:01:24+01:00,2025-12-12T22:31:34+01:00
23,各タブの拡大縮小,,81.197917737564,16.259365421522,3,,,,,0,0,0,0,0,0,,,,2025-10-31T21:59:51+01:00,2025-11-03T16:04:23+01:00
24,ボール一覧画面を日付順にする,"今日、明日、一週間、すべて（日付順）
でタブ切り分けして、合計実働時間も入れる",66.609374997451,45.154248883306,3,,,,,0,0,0,0,0,0,,,,2025-10-31T22:02:46+01:00,2025-12-12T22:31:25+01:00
26,ヘッダーに現在時刻と稼働時間の今日の合計を入れる,,28.84374979092,53.299232859396,3,,,,,0,0,0,0,0,0,,,,2025-11-01T04:01:16+01:00,2025-12-12T22:31:39+01:00
27,ショートカット登録,,47.286459835139,10.247562589106,3,,,,,0,0,0,0,0,0,,,,2025-11-01T04:05:28+01:00,2025-11-09T18:47:28+01:00
30,サイドに時間表を用意,,53.442707927923,67.592300840978,3,,,,,0,0,0,0,0,0,,,,2025-11-01T06:59:26+01:00,2025-12-12T22:31:55+01:00
31,タスク詳細にファイルリンクを用意,"押したら、案件→カテゴリー名→タイトルのフォルダーに飛ぶ
（なかったら作る。見積もりと資料のフォルダも）",56.333332991665,55.892866922824,3,,,,,0,0,0,0,0,0,,,,2025-11-01T07:02:10+01:00,2025-12-12T22:31:56+01:00
32,タスク編集画面で重要度を追加,"カテゴリーの行に、重要度を追加
予定、約束、絶対",23.031248296764,62.103057925239,3,,,,,0,0,0,0,0,0,,,,2025-11-09T18:17:10+01:00,2025-12-12T22:31:36+01:00
33,ボール編集で小タスク選択,"ボール編集にタブを用意して、小タスクをセレクトBOXで選択可能にする。
無かったらセレクトBOX出さない",4.3072909195887,9.9248854679184,3,,,,,0,0,0,0,0,0,,,,2025-11-09T18:43:56+01:00,2025-11-10T19:23:17+01:00
34,小タスクに矢印機能をつける,"タスク編集で”これをやった後でやる”ボタンを追加
選択するとそのタスクから矢印がついてくる",40.593749270771,34.605768063808,3,,,,,0,0,0,0,0,0,,,,2025-11-09T18:46:12+01:00,2025-12-12T22:31:19+01:00
36,できない理由を書く場所を用意,,68.229166666666,75.034199726402,3,,,,,0,0,0,0,0,0,,,,2025-11-09T19:13:12+01:00,2025-12-12T22:31:51+01:00
