id,title,body,left_pct,top_pct,category_id,start_date,testup_date,proof_date,delivery_date,flag_start,flag_test,flag_proof,flag_delivery,flag_fb,ball_side,ball_mine,ball_theirs,ball_prod,ball_due,est_hours,created_at,updated_at
5,ココナラでWEBページの仕事探す,とりあえず紹介文,66.662668155791,17.492711759355,0,,,,,0,0,0,0,0,2,イラストもあれば,,2026-01-06,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
13,青木さんの似顔絵描く,,21.459071456017,35.787171695523,0,2025-12-30,,,,1,0,0,0,0,0,そろそろ書け,,2026-01-06,,1,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
14,家族の絵を描く,,7.629121575516,36.413917352235,0,,,,,0,0,0,0,0,0,渡し方考える,,2026-01-06,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
16,大串兄弟のエコバッグ,"・データを用意する
・店を探す
・坂本整体に送る
1時間",36.119791666667,35.501601198334,0,,,,,0,0,0,0,0,0,,,2026-01-01,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
27,商品管理用のサイトを作成,,49.960055195484,78.061225113965,0,,,,,0,0,0,0,0,0,,,,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
28,ピアノの絵,,66.481299289092,76.616182353492,0,,,,,0,0,0,0,0,0,,,2026-01-06,2025-08-25T21:02:50+02:00,2025-12-30T19:15:16+01:00,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
29,動物Tシャツ改良する,,32.393699484476,52.278426640868,0,,,,,0,0,0,0,0,1,,,2026-01-30,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
31,絵本ツール作る,,30.799623529532,78.462946494638,0,,,,,0,0,0,0,0,0,,,2026-01-08,2025-11-03T16:01:38+01:00,2025-12-30T07:40:06+01:00,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
32,メルカリに出す商品をまとめる,全部登録する,44.824599012476,14.73993795445,0,,,,,0,0,0,0,0,0,,,2025-12-30,2026-02-25,2,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
33,出すコンペを決める,,65.583744998769,51.182216164918,0,,,,,0,0,0,0,0,0,印刷する,,,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
35,ブーチャル作る,,12.476665849817,82.794032561167,0,,,,,0,0,0,0,0,0,写真取る,,,2025-11-09T18:37:59+01:00,2025-11-10T19:18:17+01:00,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
38,仕事用のWEBページ作る,,26.353654035434,14.390706359524,0,,,,,0,0,0,0,0,0,,,2026-01-07,,1,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
42,募集用の説明文完成させる,数パターンのテンプレートを用意する,9.5969281147682,13.013404184915,0,,,,,0,0,0,0,0,0,,,2025-12-30,2026-02-24,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
44,料理写真整理サイト作る,,79.060346948819,51.969276905295,0,,,,,0,0,0,0,0,0,,,2026-01-06,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
48,カードゲームを作る,,47.613496555118,55.952896566604,0,,,,,0,0,0,0,0,0,,,2026-01-06,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
49,ブーチャルの予定を立てる,,10.917404855642,61.508107849745,0,,,,,0,0,0,0,0,0,,,,,,2026-02-11T22:59:41+01:00,2026-02-23T20:52:43+01:00
52,滝沢さんの絵を描く,,50.325520833333,35.604955948031,0,,,,,0,0,0,0,0,0,,,,,,2026-02-23T20:17:00+01:00,2026-02-23T20:52:43+01:00
